date_id,date,year,month,day,quarter,week,is_holiday
580,2020-08-02,2020,8,2,3,31,0
581,2020-08-03,2020,8,3,3,31,0
582,2020-08-04,2020,8,4,3,31,0
583,2020-08-05,2020,8,5,3,31,0
584,2020-08-06,2020,8,6,3,31,0
585,2020-08-07,2020,8,7,3,31,0
586,2020-08-08,2020,8,8,3,31,0
587,2020-08-09,2020,8,9,3,32,0
588,2020-08-10,2020,8,10,3,32,0
589,2020-08-11,2020,8,11,3,32,0
590,2020-08-12,2020,8,12,3,32,0
591,2020-08-13,2020,8,13,3,32,0
592,2020-08-14,2020,8,14,3,32,0
593,2020-08-15,2020,8,15,3,32,0
594,2020-08-16,2020,8,16,3,33,0
595,2020-08-17,2020,8,17,3,33,0
596,2020-08-18,2020,8,18,3,33,0
597,2020-08-19,2020,8,19,3,33,0
598,2020-08-20,2020,8,20,3,33,0
599,2020-08-21,2020,8,21,3,33,0
600,2020-08-22,2020,8,22,3,33,0
601,2020-08-23,2020,8,23,3,34,0
602,2020-08-24,2020,8,24,3,34,0
603,2020-08-25,2020,8,25,3,34,0
604,2020-08-26,2020,8,26,3,34,0
605,2020-08-27,2020,8,27,3,34,0
606,2020-08-28,2020,8,28,3,34,0
607,2020-08-29,2020,8,29,3,34,0
608,2020-08-30,2020,8,30,3,35,0
609,2020-08-31,2020,8,31,3,35,0
610,2020-09-01,2020,9,1,3,35,0
611,2020-09-02,2020,9,2,3,35,0
612,2020-09-03,2020,9,3,3,35,0
613,2020-09-04,2020,9,4,3,35,0
614,2020-09-05,2020,9,5,3,35,0
615,2020-09-06,2020,9,6,3,36,0
616,2020-09-07,2020,9,7,3,36,0
617,2020-09-08,2020,9,8,3,36,0
618,2020-09-09,2020,9,9,3,36,0
619,2020-09-10,2020,9,10,3,36,0
620,2020-09-11,2020,9,11,3,36,0
621,2020-09-12,2020,9,12,3,36,0
622,2020-09-13,2020,9,13,3,37,0
623,2020-09-14,2020,9,14,3,37,0
624,2020-09-15,2020,9,15,3,37,0
625,2020-09-16,2020,9,16,3,37,0
626,2020-09-17,2020,9,17,3,37,0
627,2020-09-18,2020,9,18,3,37,0
628,2020-09-19,2020,9,19,3,37,0
629,2020-09-20,2020,9,20,3,38,0
630,2020-09-21,2020,9,21,3,38,0
631,2020-09-22,2020,9,22,3,38,0
